date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:43:18	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jun%202022%2016:19:58%20GMT	http://95.214.55.189/assets/104aed05aa971c3f6ec263c6d0314927.png	C:/Users/Administrator/Desktop/Yeni%20klas%c3%b6r/tset/95.214.55.189/assets/104aed05aa971c3f6ec263c6d0314927.2a.delayed	(from http://95.214.55.189/assets/0.a5e81a1da3b56bf2fe65.css)
14:43:19	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jun%202022%2016:19:58%20GMT	http://95.214.55.189/assets/2e972c97c3483bf0bee8fc011a77044d.png	C:/Users/Administrator/Desktop/Yeni%20klas%c3%b6r/tset/95.214.55.189/assets/2e972c97c3483bf0bee8fc011a77044d.2b.delayed	(from http://95.214.55.189/assets/0.a5e81a1da3b56bf2fe65.css)
14:43:19	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jun%202022%2016:19:58%20GMT	http://95.214.55.189/assets/2402224b8957788a59a1bed474d77d6e.png	C:/Users/Administrator/Desktop/Yeni%20klas%c3%b6r/tset/95.214.55.189/assets/2402224b8957788a59a1bed474d77d6e.2c.delayed	(from http://95.214.55.189/assets/0.a5e81a1da3b56bf2fe65.css)
14:43:19	57460/57460	---M--	200	added ('OK')	application/font-woff2	etag:%2267731d2d3f83d81:0%22	http://95.214.55.189/assets/ae7c84783ad48b6d1c8e2bfbe707e0d4.woff2	C:/Users/Administrator/Desktop/Yeni%20klas%c3%b6r/tset/95.214.55.189/assets/ae7c84783ad48b6d1c8e2bfbe707e0d4.woff2	(from http://95.214.55.189/assets/0.a5e81a1da3b56bf2fe65.css)
14:43:19	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jun%202022%2016:19:58%20GMT	http://95.214.55.189/assets/5d0876ba7f8b081321655a7fc5c60aa2.png	C:/Users/Administrator/Desktop/Yeni%20klas%c3%b6r/tset/95.214.55.189/assets/5d0876ba7f8b081321655a7fc5c60aa2.2d.delayed	(from http://95.214.55.189/assets/0.a5e81a1da3b56bf2fe65.css)
14:43:19	50444/50444	---M--	200	added ('OK')	application/font-woff2	etag:%22c1b974373f83d81:0%22	http://95.214.55.189/assets/e215f61cbbc2e49cea6121e0d2679aa2.woff2	C:/Users/Administrator/Desktop/Yeni%20klas%c3%b6r/tset/95.214.55.189/assets/e215f61cbbc2e49cea6121e0d2679aa2.woff2	(from http://95.214.55.189/assets/0.a5e81a1da3b56bf2fe65.css)
14:43:20	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jun%202022%2016:19:58%20GMT	http://95.214.55.189/assets/909c987e9e8c30d8509752464753e7f6.svg	C:/Users/Administrator/Desktop/Yeni%20klas%c3%b6r/tset/95.214.55.189/assets/909c987e9e8c30d8509752464753e7f6.2e.delayed	(from http://95.214.55.189/assets/0.a5e81a1da3b56bf2fe65.css)
14:43:20	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jun%202022%2016:19:58%20GMT	http://95.214.55.189/assets/8e4f65c07b3a983f6f1667fc75c03073.png	C:/Users/Administrator/Desktop/Yeni%20klas%c3%b6r/tset/95.214.55.189/assets/8e4f65c07b3a983f6f1667fc75c03073.2f.delayed	(from http://95.214.55.189/assets/0.a5e81a1da3b56bf2fe65.css)
14:43:20	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jun%202022%2016:19:58%20GMT	http://95.214.55.189/assets/999055db6ea536c96d2f1234536aa290.svg	C:/Users/Administrator/Desktop/Yeni%20klas%c3%b6r/tset/95.214.55.189/assets/999055db6ea536c96d2f1234536aa290.30.delayed	(from http://95.214.55.189/assets/0.a5e81a1da3b56bf2fe65.css)
14:43:20	285478/285478	---M--	200	added ('OK')	image/x-icon	etag:%22d5984e253f83d81:0%22	http://95.214.55.189/assets/847541504914fd33810e70a0ea73177e.ico	C:/Users/Administrator/Desktop/Yeni%20klas%c3%b6r/tset/95.214.55.189/assets/847541504914fd33810e70a0ea73177e.ico	(from http://95.214.55.189/)
